customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST0000,Male,0,Yes,Yes,62,Yes,No phone service,No,No,Yes,No internet service,No,No,No internet service,Month-to-month,No,Credit card (automatic),62.01,3845.01,Yes
CUST0001,Female,1,Yes,Yes,11,Yes,No phone service,No,No internet service,No internet service,No,No internet service,No,Yes,One year,No,Bank transfer (automatic),40.49,437.84,Yes
CUST0002,Male,0,No,No,10,Yes,Yes,Fiber optic,Yes,No,No internet service,Yes,No,No,One year,No,Credit card (automatic),89.27,891.49,No
CUST0003,Male,0,Yes,Yes,12,Yes,No phone service,Fiber optic,No internet service,No,No,No,No internet service,Yes,Two year,Yes,Mailed check,90.4,1078.19,Yes
CUST0004,Male,0,Yes,Yes,34,Yes,No phone service,Fiber optic,No,No internet service,Yes,No,Yes,No,Two year,Yes,Electronic check,48.27,1634.27,Yes
CUST0005,Female,1,Yes,No,26,Yes,No phone service,Fiber optic,Yes,No,Yes,No internet service,No internet service,No,Two year,Yes,Credit card (automatic),67.73,1762.43,No
CUST0006,Male,0,Yes,Yes,66,No,No phone service,No,No,Yes,No internet service,No,No,No internet service,One year,Yes,Credit card (automatic),65.17,4296.9,No
CUST0007,Male,0,No,Yes,44,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,One year,No,Credit card (automatic),97.8,4308.62,No
CUST0008,Male,0,No,No,66,Yes,No,DSL,No,Yes,No,Yes,No internet service,Yes,Month-to-month,Yes,Mailed check,87.52,5771.38,No
CUST0009,Female,0,No,No,21,Yes,No phone service,Fiber optic,No,No internet service,No internet service,Yes,Yes,No internet service,Month-to-month,Yes,Electronic check,26.82,559.94,No
CUST0010,Male,0,No,No,41,Yes,No,Fiber optic,Yes,No,No internet service,Yes,Yes,No internet service,Two year,No,Mailed check,35.11,1441.34,No
CUST0011,Male,0,No,Yes,19,Yes,Yes,No,No internet service,Yes,No,No internet service,No,Yes,Month-to-month,Yes,Credit card (automatic),104.0,1966.17,No
CUST0012,Male,0,No,No,47,Yes,No,DSL,Yes,No internet service,No,No,No internet service,Yes,Month-to-month,No,Mailed check,116.56,5485.15,Yes
CUST0013,Male,0,No,Yes,17,Yes,Yes,DSL,No internet service,Yes,No,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),83.64,1413.71,No
CUST0014,Female,0,Yes,No,69,Yes,No,DSL,No internet service,Yes,No internet service,No internet service,Yes,No,One year,Yes,Electronic check,56.48,3887.66,No
CUST0015,Male,0,No,No,5,Yes,No,Fiber optic,Yes,No,Yes,Yes,No internet service,No internet service,One year,No,Bank transfer (automatic),42.11,216.01,Yes
CUST0016,Female,0,No,No,38,Yes,Yes,No,No internet service,No internet service,Yes,No,No internet service,No internet service,Two year,Yes,Credit card (automatic),94.36,3591.67,No
CUST0017,Female,0,No,No,10,Yes,Yes,No,Yes,Yes,Yes,No internet service,No internet service,Yes,One year,No,Bank transfer (automatic),83.84,841.14,No
CUST0018,Female,1,No,Yes,24,Yes,No phone service,Fiber optic,Yes,Yes,Yes,No internet service,No internet service,Yes,Two year,No,Credit card (automatic),110.89,2667.99,No
CUST0019,Male,0,Yes,Yes,54,Yes,No,DSL,No internet service,No internet service,No internet service,No internet service,No,Yes,Month-to-month,Yes,Electronic check,110.31,5965.09,No
CUST0020,Female,1,No,No,57,Yes,Yes,DSL,No internet service,No internet service,No,No internet service,No,No internet service,Month-to-month,No,Mailed check,50.72,2885.53,No
CUST0021,Male,0,No,Yes,36,Yes,No phone service,No,No,No,Yes,Yes,No internet service,No internet service,Month-to-month,No,Electronic check,100.29,3609.43,No
